domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;26;0;0;9;0.000169;153846;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;0;0;10;0.000354;180791;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;12;0;0;10;6.3e-05;190476;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;29;0;0;10;0.000143;202797;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;4.7e-05;191489;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;46;0;0;10;0.000218;211009;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;26;0;0;10;0.00013;200000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;0;0;10;0.000296;216216;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;94;0;0;10;0.00049;191837;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;36;0;0;10;0.000176;204545;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;10;0;0;10;5.2e-05;192308;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;11/1;1;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;55;0;0;10;0.000325;169231;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;12/1;1;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;9;9;17;0;0;10;7.3e-05;232877;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;13/1;1;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;9;9;20;0;0;10;8.6e-05;232558;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;14/1;1;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;10;0;0;10;4.7e-05;212766;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;15/1;1;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;12;0;0;10;5.4e-05;222222;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;16/1;1;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;15;0;0;10;6.4e-05;234375;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;17/1;1;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;0;0;10;6.1e-05;229508;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;18/1;1;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;200;0;0;10;0.000857;233372;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;19/1;1;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;17;0;0;10;7.4e-05;229730;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;20/1;1;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;141;0;0;10;0.000582;242268;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;21/1;1;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;9;9;24;0;0;10;0.000102;235294;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;22/1;1;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;9;9;13;0;0;10;5.7e-05;228070;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;23/1;1;5 1 3 8 7 10 6 4 2 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;0;0;10;6.1e-05;229508;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;24/1;1;8 1 9 5 3 7 6 4 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;17;0;0;10;0.000179;94972.1;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;25/1;1;4 7 6 8 2 10 1 9 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;13;0;0;10;5.9e-05;220339;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;26/1;1;7 4 6 2 8 3 9 1 10 5;1 2 3 4 5 6 7 8 9 10;10;10;10;11;0;0;10;5e-05;220000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;27/1;1;1 7 10 4 2 6 9 8 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;14;0;0;10;6.3e-05;222222;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;28/1;1;9 4 6 8 7 10 2 5 1 3;1 2 3 4 5 6 7 8 9 10;9;10;10;85;0;0;10;0.000335;253731;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;29/1;1;8 3 9 2 7 4 6 1 5 10;1 2 3 4 5 6 7 8 9 10;9;9;9;11;0;0;10;4.9e-05;224490;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;30/1;1;3 2 5 9 1 8 4 6 10 7;1 2 3 4 5 6 7 8 9 10;9;9;9;21;0;0;10;9e-05;233333;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;31/1;1;4 8 10 7 9 6 2 5 3 1;1 2 3 4 5 6 7 8 9 10;10;10;10;10;0;0;10;4.6e-05;217391;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;32/1;1;5 1 10 4 8 2 6 3 7 9;1 2 3 4 5 6 7 8 9 10;10;10;10;10;0;0;10;4.5e-05;222222;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;33/1;1;8 2 5 6 10 7 9 4 1 3;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;3.9e-05;230769;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;34/1;1;1 10 8 3 9 5 2 7 6 4;1 2 3 4 5 6 7 8 9 10;9;10;10;27;0;0;10;0.000115;234783;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;35/1;1;4 5 3 7 9 1 8 10 6 2;1 2 3 4 5 6 7 8 9 10;9;10;10;20;0;0;10;8.8e-05;227273;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;36/1;1;3 7 1 4 5 10 2 9 6 8;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;4e-05;225000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;37/1;1;7 9 2 3 10 1 6 4 8 5;1 2 3 4 5 6 7 8 9 10;9;10;10;53;0;0;10;0.000213;248826;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;38/1;1;8 6 10 1 3 9 4 7 2 5;1 2 3 4 5 6 7 8 9 10;10;10;10;16;0;0;10;6.9e-05;231884;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;39/1;1;2 6 1 5 9 3 4 8 10 7;1 2 3 4 5 6 7 8 9 10;9;9;9;14;0;0;10;6.2e-05;225806;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;40/1;1;3 9 5 8 2 7 1 6 4 10;1 2 3 4 5 6 7 8 9 10;9;9;9;16;0;0;10;6.9e-05;231884;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;41/1;1;8 1 9 3 6 7 10 5 2 4;1 2 3 4 5 6 7 8 9 10;9;10;10;10;0;0;10;4.6e-05;217391;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;42/1;1;3 10 2 4 7 9 8 5 1 6;1 2 3 4 5 6 7 8 9 10;9;10;10;104;0;0;10;0.000406;256158;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;43/1;1;6 1 7 3 10 8 4 5 2 9;1 2 3 4 5 6 7 8 9 10;9;10;10;18;0;0;10;7.9e-05;227848;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;44/1;1;9 2 6 10 1 3 8 5 4 7;1 2 3 4 5 6 7 8 9 10;9;10;10;41;0;0;10;0.00017;241176;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;45/1;1;1 7 3 9 2 5 8 6 10 4;1 2 3 4 5 6 7 8 9 10;10;10;10;11;0;0;10;4.9e-05;224490;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;46/1;1;7 9 2 5 4 1 8 3 10 6;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;3.9e-05;230769;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;47/1;1;6 8 4 10 2 9 3 7 5 1;1 2 3 4 5 6 7 8 9 10;10;10;10;14;0;0;10;6e-05;233333;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;48/1;1;4 1 7 5 3 10 6 9 2 8;1 2 3 4 5 6 7 8 9 10;10;10;10;34;0;0;10;0.00014;242857;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;49/1;1;4 1 6 5 7 3 9 2 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;46;0;0;10;0.000187;245989;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;50/1;1;8 5 2 7 4 3 10 1 6 9;1 2 3 4 5 6 7 8 9 10;9;9;9;16;0;0;10;7.1e-05;225352;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;51/1;1;3 5 4 2 8 6 10 1 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;30;0;0;10;0.000127;236220;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;52/1;1;5 9 2 7 10 8 6 3 1 4;1 2 3 4 5 6 7 8 9 10;10;11;11;44;0;0;10;0.000182;241758;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;53/1;1;8 1 5 2 3 6 9 4 10 7;1 2 3 4 5 6 7 8 9 10;9;9;9;28;0;0;10;0.000116;241379;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;54/1;1;10 1 4 8 2 6 5 7 3 9;1 2 3 4 5 6 7 8 9 10;9;10;10;64;0;0;10;0.000256;250000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;55/1;1;9 1 8 3 6 10 4 2 5 7;1 2 3 4 5 6 7 8 9 10;10;10;10;16;0;0;10;7.1e-05;225352;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;56/1;1;4 7 6 1 10 5 9 2 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;62;0;0;10;0.000247;251012;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;57/1;1;8 5 10 7 9 3 2 6 1 4;1 2 3 4 5 6 7 8 9 10;9;10;10;30;0;0;10;0.000124;241935;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;58/1;1;6 3 7 1 4 2 8 5 10 9;1 2 3 4 5 6 7 8 9 10;9;10;10;247;0;0;10;0.001066;231707;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;59/1;1;1 9 7 10 5 4 6 2 8 3;1 2 3 4 5 6 7 8 9 10;9;9;9;10;0;0;10;3.3e-05;303030;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;60/1;1;1 3 10 4 8 5 9 2 7 6;1 2 3 4 5 6 7 8 9 10;9;10;10;21;0;0;10;6.6e-05;318182;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;61/1;1;8 7 5 2 4 10 3 1 9 6;1 2 3 4 5 6 7 8 9 10;9;9;9;11;0;0;10;3.5e-05;314286;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;62/1;1;9 2 10 5 7 1 6 8 4 3;1 2 3 4 5 6 7 8 9 10;9;10;10;44;0;0;10;0.000128;343750;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;63/1;1;7 9 10 8 6 1 4 2 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;2.9e-05;310345;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;64/1;1;9 1 3 5 7 2 10 8 4 6;1 2 3 4 5 6 7 8 9 10;10;10;10;47;0;0;10;0.000134;350746;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;65/1;1;8 2 3 5 9 7 10 6 4 1;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;2.9e-05;310345;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;66/1;1;9 4 10 6 2 7 1 3 8 5;1 2 3 4 5 6 7 8 9 10;10;10;10;16;0;0;10;5e-05;320000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;67/1;1;4 8 5 2 10 9 6 3 1 7;1 2 3 4 5 6 7 8 9 10;9;9;9;15;0;0;10;4.7e-05;319149;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;68/1;1;4 3 8 10 2 5 9 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;28;0;0;10;8.4e-05;333333;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;69/1;1;8 5 9 4 1 10 7 2 6 3;1 2 3 4 5 6 7 8 9 10;10;10;10;24;0;0;10;7.3e-05;328767;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;70/1;1;7 4 2 9 6 8 3 1 5 10;1 2 3 4 5 6 7 8 9 10;9;9;9;23;0;0;10;7e-05;328571;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;71/1;1;6 1 7 3 4 9 5 8 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;18;0;0;10;5.6e-05;321429;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;72/1;1;9 4 10 2 7 6 1 5 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;77;0;0;10;0.000216;356481;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;73/1;1;1 7 4 2 5 3 6 9 10 8;1 2 3 4 5 6 7 8 9 10;9;9;9;18;0;0;10;5.8e-05;310345;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;74/1;1;6 3 2 7 10 8 1 4 9 5;1 2 3 4 5 6 7 8 9 10;9;9;9;24;0;0;10;7.3e-05;328767;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;75/1;1;10 8 4 9 6 1 7 3 5 2;1 2 3 4 5 6 7 8 9 10;10;10;10;10;0;0;10;3.3e-05;303030;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;76/1;1;9 8 3 6 2 5 10 1 4 7;1 2 3 4 5 6 7 8 9 10;9;9;9;23;0;0;10;7e-05;328571;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;77/1;1;1 6 8 5 2 4 7 9 3 10;1 2 3 4 5 6 7 8 9 10;9;10;10;84;0;0;10;0.000238;352941;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;78/1;1;3 10 7 1 4 8 9 6 2 5;1 2 3 4 5 6 7 8 9 10;9;10;10;43;0;0;10;0.000127;338583;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;79/1;1;5 1 8 10 6 4 9 2 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;0.00015;60000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;80/1;1;8 4 5 10 2 6 3 1 7 9;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;3e-05;300000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;81/1;1;6 2 5 10 3 7 4 9 8 1;1 2 3 4 5 6 7 8 9 10;9;10;10;36;0;0;10;0.00011;327273;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;82/1;1;6 3 8 7 4 9 1 10 5 2;1 2 3 4 5 6 7 8 9 10;9;10;10;28;0;0;10;8.8e-05;318182;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;83/1;1;2 10 3 9 8 6 4 1 7 5;1 2 3 4 5 6 7 8 9 10;9;9;9;12;0;0;10;3.9e-05;307692;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;84/1;1;4 2 9 7 3 10 5 8 1 6;1 2 3 4 5 6 7 8 9 10;10;10;10;14;0;0;10;4.4e-05;318182;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;85/1;1;8 1 5 6 2 10 4 9 3 7;1 2 3 4 5 6 7 8 9 10;9;10;10;21;0;0;10;6.6e-05;318182;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;86/1;1;9 5 8 3 4 6 10 1 7 2;1 2 3 4 5 6 7 8 9 10;9;10;10;32;0;0;10;9.9e-05;323232;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;87/1;1;6 3 7 1 5 10 4 9 8 2;1 2 3 4 5 6 7 8 9 10;9;10;10;82;0;0;10;0.000242;338843;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;88/1;1;6 4 1 9 8 2 10 3 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;189;0;0;10;0.00056;337500;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;89/1;1;2 8 5 3 1 7 6 10 4 9;1 2 3 4 5 6 7 8 9 10;9;10;10;49;0;0;10;0.000148;331081;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;90/1;1;3 6 10 5 1 9 8 4 7 2;1 2 3 4 5 6 7 8 9 10;9;9;9;11;0;0;10;3.6e-05;305556;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;91/1;1;6 9 3 8 1 5 7 10 2 4;1 2 3 4 5 6 7 8 9 10;10;10;10;21;0;0;10;6.7e-05;313433;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;92/1;1;8 5 6 10 3 9 4 1 7 2;1 2 3 4 5 6 7 8 9 10;9;10;10;89;0;0;10;0.000256;347656;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;93/1;1;8 6 4 5 3 9 2 10 7 1;1 2 3 4 5 6 7 8 9 10;9;10;10;26;0;0;10;8.2e-05;317073;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;94/1;1;5 7 2 6 1 8 3 9 4 10;1 2 3 4 5 6 7 8 9 10;9;9;9;9;0;0;10;3e-05;300000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;95/1;1;4 10 6 8 3 9 5 7 1 2;1 2 3 4 5 6 7 8 9 10;9;10;10;55;0;0;10;0.000164;335366;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;96/1;1;4 10 1 8 7 9 6 3 5 2;1 2 3 4 5 6 7 8 9 10;9;9;9;24;0;0;10;7.6e-05;315789;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;97/1;1;10 3 8 6 1 2 9 4 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;20;0;0;10;6.5e-05;307692;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;98/1;1;10 4 7 1 8 6 2 9 3 5;1 2 3 4 5 6 7 8 9 10;10;10;10;10;0;0;10;3.7e-05;270270;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;99/1;1;6 9 5 8 2 7 3 1 4 10;1 2 3 4 5 6 7 8 9 10;9;9;9;23;0;0;10;7.7e-05;298701;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;0/2;2;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;45;0;0;10;0.000138;326087;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;1/2;2;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;205;0;0;10;0.0006;341667;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;2/2;2;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;17;0;0;10;5.9e-05;288136;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;3/2;2;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;43;0;0;10;0.000133;323308;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;4/2;2;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;0;0;10;0.00019;336842;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;5/2;2;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;50;0;0;10;0.000156;320513;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;6/2;2;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;158;0;0;10;0.000486;325103;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;7/2;2;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;75;0;0;10;0.00023;326087;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;8/2;2;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;106;0;0;10;0.000312;339744;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;9/2;2;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;58;0;0;10;0.000176;329545;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;10/2;2;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;33;0;0;10;0.000256;128906;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;11/2;2;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;94;0;0;10;0.000278;338129;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;12/2;2;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;10;10;62;0;0;10;0.000187;331551;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;13/2;2;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;10;10;58;0;0;10;0.000177;327684;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;14/2;2;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;17;0;0;10;5.8e-05;293103;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;15/2;2;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;22;0;0;10;7.2e-05;305556;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;16/2;2;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;18;0;0;10;6e-05;300000;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;17/2;2;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;22;0;0;10;7.1e-05;309859;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;18/2;2;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;246;0;0;10;0.000709;346968;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;19/2;2;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;26;0;0;10;8.4e-05;309524;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;20/2;2;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;226;0;0;10;0.000653;346095;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;21/2;2;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;10;10;46;0;0;10;0.000142;323944;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;22/2;2;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;10;10;25;0;0;10;8.5e-05;294118;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;23/2;2;5 1 3 8 7 10 6 4 2 9;1 2 3 4 5 6 7 8 9 10;9;10;10;109;0;0;10;0.000309;352751;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;24/2;2;8 1 9 5 3 7 6 4 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;29;0;0;10;9.2e-05;315217;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;25/2;2;4 7 6 8 2 10 1 9 5 3;1 2 3 4 5 6 7 8 9 10;9;10;10;165;0;0;10;0.000452;365044;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;26/2;2;7 4 6 2 8 3 9 1 10 5;1 2 3 4 5 6 7 8 9 10;10;10;10;19;0;0;10;6.1e-05;311475;mA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
