domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;8604326;9732876;1;14980.4;5.44392;SB*;v2.0-53-g98db238
roadmap;dimacs;1;1;13324678;1772686;1;14980.5;3.90324;SB*;v2.0-53-g98db238
roadmap;dimacs;2;1;7884719;12471248;1;14980.5;7.54017;SB*;v2.0-53-g98db238
roadmap;dimacs;3;1;8299861;7053926;1;14980.5;7.34701;SB*;v2.0-53-g98db238
roadmap;dimacs;4;1;12596053;1146316;1;14980.5;1.11004;SB*;v2.0-53-g98db238
roadmap;dimacs;5;1;11197166;11364939;1;14980.5;0.145177;SB*;v2.0-53-g98db238
roadmap;dimacs;6;1;6565953;5560140;1;14980.5;6.71666;SB*;v2.0-53-g98db238
roadmap;dimacs;7;1;1708459;1346398;1;14980.5;0.340686;SB*;v2.0-53-g98db238
roadmap;dimacs;8;1;6430858;9605088;1;14980.5;7.13236;SB*;v2.0-53-g98db238
roadmap;dimacs;9;1;13360598;9176765;1;14980.5;6.64695;SB*;v2.0-53-g98db238
roadmap;dimacs;10;1;9612662;13606339;1;14980.5;6.48375;SB*;v2.0-53-g98db238
roadmap;dimacs;11;1;12873279;10535256;1;14980.5;6.41529;SB*;v2.0-53-g98db238
roadmap;dimacs;12;1;4952316;5173679;1;14980.5;1.83597;SB*;v2.0-53-g98db238
roadmap;dimacs;13;1;5354799;6923423;1;14980.5;6.6929;SB*;v2.0-53-g98db238
roadmap;dimacs;14;1;13137590;9585261;1;14980.5;5.72674;SB*;v2.0-53-g98db238
roadmap;dimacs;15;1;11321713;2269866;1;14980.5;2.44142;SB*;v2.0-53-g98db238
roadmap;dimacs;16;1;1896709;12436478;1;14980.5;1.90455;SB*;v2.0-53-g98db238
roadmap;dimacs;17;1;5072861;2099840;1;14980.5;5.7614;SB*;v2.0-53-g98db238
roadmap;dimacs;18;1;4629132;1284015;1;14980.5;6.42773;SB*;v2.0-53-g98db238
roadmap;dimacs;19;1;3228092;5707300;1;14980.5;5.57472;SB*;v2.0-53-g98db238
roadmap;dimacs;20;1;3381239;2583559;1;14980.5;0.167968;SB*;v2.0-53-g98db238
roadmap;dimacs;21;1;13427477;6961189;1;14980.5;3.86843;SB*;v2.0-53-g98db238
roadmap;dimacs;22;1;4283094;7334708;1;14980.5;1.42864;SB*;v2.0-53-g98db238
roadmap;dimacs;23;1;9833087;2581438;1;14980.5;3.46755;SB*;v2.0-53-g98db238
roadmap;dimacs;24;1;1457295;3812033;1;14980.5;8.3487;SB*;v2.0-53-g98db238
roadmap;dimacs;25;1;13874455;12339904;1;14980.5;5.56431;SB*;v2.0-53-g98db238
roadmap;dimacs;26;1;12825483;8424124;1;14980.5;3.81932;SB*;v2.0-53-g98db238
roadmap;dimacs;27;1;3071353;4084059;1;14980.5;4.31697;SB*;v2.0-53-g98db238
roadmap;dimacs;28;1;8311316;5237274;1;14980.5;7.41481;SB*;v2.0-53-g98db238
roadmap;dimacs;29;1;4055997;6134610;1;14980.5;0.776889;SB*;v2.0-53-g98db238
roadmap;dimacs;30;1;2618545;11678130;1;14980.5;2.90009;SB*;v2.0-53-g98db238
