domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;185304;78004;284;326.195;0.314728;Feng;v2.0-53-g98db238
roadmap;dimacs;1/1;1;75504;232776;221;326.508;0.385942;Feng;v2.0-53-g98db238
roadmap;dimacs;2/1;1;164668;56964;192;326.508;0.272055;Feng;v2.0-53-g98db238
roadmap;dimacs;3/1;1;185932;65044;247;326.637;0.291487;Feng;v2.0-53-g98db238
roadmap;dimacs;4/1;1;260054;76690;284;326.699;0.290373;Feng;v2.0-53-g98db238
roadmap;dimacs;5/1;1;208831;68322;153;326.699;0.358995;Feng;v2.0-53-g98db238
roadmap;dimacs;6/1;1;171352;103936;171;326.699;0.246585;Feng;v2.0-53-g98db238
roadmap;dimacs;7/1;1;67586;5493;260;326.699;0.338773;Feng;v2.0-53-g98db238
roadmap;dimacs;8/1;1;240171;101021;183;326.762;0.291881;Feng;v2.0-53-g98db238
roadmap;dimacs;9/1;1;8686;57324;255;326.762;0.277084;Feng;v2.0-53-g98db238
roadmap;dimacs;10/1;1;70116;192949;266;326.762;0.282267;Feng;v2.0-53-g98db238
roadmap;dimacs;11/1;1;62502;51055;104;326.762;0.227682;Feng;v2.0-53-g98db238
roadmap;dimacs;12/1;1;259123;74258;266;326.762;0.393648;Feng;v2.0-53-g98db238
roadmap;dimacs;13/1;1;155875;101452;315;327.273;0.299423;Feng;v2.0-53-g98db238
roadmap;dimacs;14/1;1;260290;94483;234;327.312;0.403323;Feng;v2.0-53-g98db238
roadmap;dimacs;15/1;1;158172;231849;243;327.312;0.275368;Feng;v2.0-53-g98db238
roadmap;dimacs;16/1;1;173317;97062;297;327.312;0.292389;Feng;v2.0-53-g98db238
roadmap;dimacs;17/1;1;86025;11504;198;327.312;0.274429;Feng;v2.0-53-g98db238
roadmap;dimacs;18/1;1;159691;41106;209;327.312;0.268102;Feng;v2.0-53-g98db238
roadmap;dimacs;19/1;1;137601;92107;203;327.312;0.301299;Feng;v2.0-53-g98db238
roadmap;dimacs;20/1;1;167163;120829;173;327.312;0.255545;Feng;v2.0-53-g98db238
roadmap;dimacs;21/1;1;91132;107074;248;327.312;0.277206;Feng;v2.0-53-g98db238
roadmap;dimacs;22/1;1;67727;19338;200;327.312;0.264813;Feng;v2.0-53-g98db238
roadmap;dimacs;23/1;1;60442;259746;315;327.312;0.298008;Feng;v2.0-53-g98db238
roadmap;dimacs;24/1;1;103204;263077;282;327.312;0.404525;Feng;v2.0-53-g98db238
roadmap;dimacs;25/1;1;207887;73900;185;327.312;0.266053;Feng;v2.0-53-g98db238
roadmap;dimacs;26/1;1;158034;38934;219;327.312;0.267412;Feng;v2.0-53-g98db238
roadmap;dimacs;27/1;1;119514;262143;336;327.312;0.44179;Feng;v2.0-53-g98db238
roadmap;dimacs;28/1;1;133416;95500;176;327.312;0.254406;Feng;v2.0-53-g98db238
roadmap;dimacs;29/1;1;222955;118711;249;327.312;0.309146;Feng;v2.0-53-g98db238
roadmap;dimacs;30/1;1;174388;6652;217;327.312;0.380649;Feng;v2.0-53-g98db238
roadmap;dimacs;31/1;1;66450;155619;340;328.598;0.30742;Feng;v2.0-53-g98db238
roadmap;dimacs;32/1;1;41744;256787;290;328.75;0.283021;Feng;v2.0-53-g98db238
roadmap;dimacs;33/1;1;246406;117343;269;328.75;0.283835;Feng;v2.0-53-g98db238
roadmap;dimacs;34/1;1;159112;109571;234;328.75;0.383175;Feng;v2.0-53-g98db238
roadmap;dimacs;35/1;1;154540;118595;301;328.75;0.457606;Feng;v2.0-53-g98db238
